t,du1_LMI1,du1_LMI2,du1_Luen1,du1_Luen2
0,0.137921920717743,0.0951041276468538,1.29064674675464,1.17275100243474
1,-0.0699768899877822,0.265862164538289,-0.0949121501799091,-0.452756216462413
2,0.0310397463696132,-0.1253724826666,0.235654817614458,-0.0173278789357674
3,-0.00790818281978822,0.00195166430021176,-0.137738137482367,-0.00254506722853964
4,0.00200966969084715,0.0351529878613784,0.0312013668437017,0.00968584275981937
5,0.000140202155183733,-0.00110580805921445,-0.0163104437152066,-0.00588459873368186
6,0.000206863503155796,-0.00413456931828193,0.00663872625927375,-0.00233680348931264
7,-0.000177604345009269,0.00126616958800488,-0.000646541755185859,0.00213499669218166
8,8.2632556006601e-06,0.000524289043927872,0.000312974339230276,-0.000969766551774054
9,1.14130750992203e-05,-0.00029034396135158,0.000146271727822,8.85052297557309e-05
10,-3.2550680302279e-06,-3.70551561799104e-05,-0.000135472078810928,-0.000101162196483595
11,-2.63360560648351e-06,5.35343149335454e-05,8.67684612431141e-05,5.19531780394655e-05
12,1.05530884653149e-06,-3.18349329919698e-06,-3.51511916667491e-05,-3.31619456019894e-05
13,1.83444284262979e-07,-8.20667088685667e-06,2.13435711906018e-05,3.73370984352306e-07
14,-1.8783050959037e-07,1.94312935453134e-06,-6.42011020834943e-06,2.84048774390477e-07
15,-1.2533742932419e-09,1.02097728704731e-06,3.24481909119712e-06,-1.34214634378571e-06
16,3.248031238412e-08,-4.90241768513755e-07,-6.24019832695666e-07,-2.1438346342606e-07
17,-5.67257352201977e-09,-8.26097137363035e-08,2.82425332898129e-07,-3.04311613241737e-07
18,-4.27207735853585e-09,9.46080258579229e-08,5.58831478869593e-08,8.39177556333226e-08
19,1.62129565328684e-09,-2.62379435799626e-09,-6.3626466872968e-09,-1.10472743259683e-07
20,4.25849577823101e-10,-1.50494394723921e-08,3.93080461513762e-08,4.15864354064155e-09
21,-3.41911388090921e-10,3.0042557330745e-09,-9.83628911654932e-09,-1.2375080626903e-08
22,-1.09536824055567e-11,1.95139157610491e-09,1.04660142774549e-08,-1.61514754348779e-09
23,5.76714231925735e-11,-8.26027690692399e-10,-2.00510985592928e-09,-2.87632306861241e-09
24,-8.02613531192264e-12,-1.78359771396686e-10,1.93338239862229e-09,-7.2400374584447e-10
25,-8.09208255958538e-12,1.65858438094801e-10,-1.49480927635892e-10,-2.41307862580697e-10
26,2.70783395706076e-12,8.5309537212197e-13,2.78059575364864e-10,-3.12160963744645e-10
27,8.60644888689421e-13,-2.73203681899759e-11,4.56248372415757e-11,-5.11639619560356e-11
28,-5.97966121063109e-13,4.53206916439797e-12,2.81932255319362e-11,-6.10380357368712e-11
29,-4.14113188185183e-14,3.69859698423625e-12,2.37024844196299e-11,-1.16917031611763e-11
30,1.07996944720412e-13,-1.37539979405688e-12,2.12102557739513e-12,-1.50672807563978e-11
31,-6.21724893790088e-15,-3.69926311805102e-13,6.54232223951112e-12,-3.27382565501466e-12
32,-1.06581410364015e-14,2.88435941797616e-13,3.25517390820096e-13,-2.57771581857469e-12
33,-3.33066907387547e-15,9.10382880192628e-15,1.41353595495275e-12,-1.10023101740353e-12
34,-4.44089209850063e-15,-4.79616346638068e-14,1.6020518245341e-13,-5.22137888481211e-13
35,-2.22044604925031e-15,4.88498130835069e-15,2.54463117244086e-13,-2.63344901441087e-13
36,1.22124532708767e-15,5.55111512312578e-15,6.94999613415348e-14,-1.02362562870439e-13
37,3.5527136788005e-15,-3.99680288865056e-15,4.9293902293357e-14,-6.81676937119846e-14
38,-2.22044604925031e-15,-9.26342336171615e-15,2.17603712826531e-14,-2.66939248483311e-14
39,1.11022302462516e-15,-3.10862446895044e-15,9.54791801177635e-15,-1.59872115546023e-14
40,-8.88178419700125e-16,-1.63757896132211e-15,3.5527136788005e-15,-7.07767178198537e-15
41,3.33066907387547e-15,2.19269047363468e-15,6.66133814775094e-16,-1.94289029309402e-15
42,0,1.85962356624714e-15,-7.7715611723761e-16,-8.60422844084496e-16
43,-8.88178419700125e-16,2.22044604925031e-16,3.33066907387547e-15,1.55431223447522e-15
44,-3.5527136788005e-15,-3.88578058618805e-15,-1.99840144432528e-15,0
45,1.33226762955019e-15,-2.66453525910038e-15,-4.44089209850063e-16,-3.5527136788005e-15
46,-4.13558076672871e-15,-4.44089209850063e-15,-2.55351295663786e-15,6.66133814775094e-16
47,8.88178419700125e-16,-3.99680288865056e-15,8.88178419700125e-16,-1.99840144432528e-15
48,4.44089209850063e-16,-4.71844785465692e-15,1.99840144432528e-15,-1.49880108324396e-15
49,9.71445146547012e-16,3.5527136788005e-15,2.63677968348475e-16,1.66533453693773e-15
