t,du2_LMI1,du2_LMI2,du2_Luen1,du2_Luen2
1,1.72394847878753,3.60449113966663,1.72394847878753,3.60449113966663
2,0.652869586869224,-1.64385872713039,0.652869586869224,-1.64385872713039
3,0.637761081092425,3.75765414246498,0.637761081092425,3.75765414246498
4,1.6889096041804,1.22074602213633,1.6889096041804,1.22074602213633
5,1.34155329621962,1.1413278803285,1.34155329621962,1.1413278803285
6,0.00521259113397932,-0.0133912871718449,0.047209186891938,0.0302790196789129
7,-0.00216092657760153,0.00442451904788221,0.0832986542766633,-0.173642746502543
8,0.00181920392399548,-0.00354219556823576,0.139922663868742,-0.127246276077165
9,0.000103297383842627,-0.000157114374294665,0.409534555532488,-0.592328987274287
10,0.000161417827515997,-0.000330015758836399,0.282012833932588,-0.483894318448719
11,-1.02333746771766e-05,2.3018442114553e-05,0.0597396673832622,-0.111519490564605
12,3.27671698502341e-06,-6.42492363311931e-06,-0.0209619168096263,0.0325903451643019
13,-2.55224123946185e-06,4.77955453836998e-06,-0.0130204106896126,0.0204835217317516
14,-1.74214910941828e-07,2.12148590250649e-07,-0.00691491134820987,0.0096380892400143
15,-2.23090789952529e-07,3.96305152694509e-07,-0.0137998710559748,0.0213536645445638
16,1.60719526576258e-08,-3.47020988611391e-08,-0.0121648004838557,0.020445730860955
17,-4.6206412307459e-09,8.91627677246376e-09,-0.00348116120906608,0.00649213835939022
18,3.53276563558325e-09,-6.5655533232345e-09,0.00109386192099059,-0.00165011148645439
19,2.23492779838352e-10,-2.61695776160309e-10,0.000859356287531199,-0.00147728293177707
20,2.76711986657574e-10,-4.93926233247066e-10,0.000211330121300923,-0.000304891065422863
21,-2.3143709171336e-11,4.92753060576945e-11,0.00041757424898281,-0.000621042328556115
22,6.17594864138482e-12,-1.18753895606005e-11,0.000500319653782277,-0.000826829279050756
23,-4.87432316731429e-12,8.96438479003336e-12,0.000197414949016261,-0.000357317334956253
24,-2.73558953267639e-13,2.8244073746464e-13,-3.8585490027554e-05,5.19998780639241e-05
25,-3.65929508916452e-13,6.7390537594747e-13,-5.15966774106147e-05,8.81965602949064e-05
26,5.55111512312578e-15,-4.44089209850063e-16,-1.0199397040167e-05,1.69804300962362e-05
27,-1.77635683940025e-14,4.04121180963557e-14,-1.03526275632149e-05,1.41589800275455e-05
28,-1.26565424807268e-14,1.50990331349021e-14,-1.90482761681654e-05,3.07469044740216e-05
29,1.95399252334028e-14,-3.50830475781549e-14,-1.0428937988749e-05,1.84476986637705e-05
30,2.27040608535845e-14,-2.67563748934663e-14,7.33555115706164e-07,-4.83554315144907e-07
31,-6.48092690624935e-15,1.17683640610267e-14,2.77240348753316e-06,-4.66310020463823e-06
32,-3.10862446895044e-15,2.22044604925031e-14,6.99676107718261e-07,-1.24852768657036e-06
33,1.4210854715202e-14,-2.93098878501041e-14,1.68921135745848e-07,-1.77659597699886e-07
34,3.28070903776734e-14,-5.39568389967826e-14,6.43813654166436e-07,-1.00240644274052e-06
35,4.37427871702312e-14,-7.99915689242425e-14,5.08559078182813e-07,-8.79424876906731e-07
36,5.44009282066327e-15,-8.88178419700125e-15,3.10098516864699e-08,-9.10418163080351e-08
37,-1.17683640610267e-14,1.86517468137026e-14,-1.33149597125737e-07,2.18871201607129e-07
38,8.10462807976364e-15,1.68753899743024e-14,-4.91854030837402e-08,8.83032513776527e-08
39,-7.105427357601e-15,3.75255382323303e-14,1.11872289210169e-10,-2.49538745222821e-09
40,2.17603712826531e-14,-4.39648317751562e-14,-1.77866164019491e-08,2.57877701415055e-08
41,1.04360964314765e-14,-2.1316282072803e-14,-2.26576777340171e-08,3.82363496420624e-08
42,3.33066907387547e-14,-4.06341627012807e-14,-4.71996819406684e-09,9.73257585634713e-09
43,2.30926389122033e-14,-3.64153152077051e-14,5.63618041127256e-09,-8.95853835558569e-09
44,-1.90958360235527e-14,1.77635683940025e-15,3.14855208571885e-09,-5.57550894342285e-09
45,7.21644966006352e-15,-2.64233079860787e-14,-4.39160929843752e-11,5.08058040082915e-11
46,3.17523785042795e-14,-7.38298311375729e-14,2.90525714596868e-10,-3.08912007085382e-10
47,1.35447209004269e-14,-3.95239396766556e-14,9.04875063767463e-10,-1.48191192650415e-09
48,2.44249065417534e-15,-3.99680288865056e-14,3.57361473746209e-10,-6.73467281941953e-10
49,-3.28626015289046e-14,3.37507799486048e-14,-2.0107782106038e-10,3.01138669556167e-10
50,-3.81916720471054e-14,6.88338275267597e-14,-1.80570114416412e-10,3.13660653006309e-10
51,-4.27435864480685e-14,4.66293670342566e-14,-1.05196962252307e-11,2.42112996318156e-11
52,-2.22044604925031e-14,3.90798504668055e-14,6.78568312650896e-12,-1.78355108459982e-11
53,1.55431223447522e-15,-3.06421554796543e-14,-3.09969827583245e-11,4.8467452273826e-11
54,2.08721928629529e-14,-5.48450174164827e-14,-2.11464179500354e-11,3.79494213831322e-11
