t,du2_LMI1,du2_LMI2,du2_Luen1,du2_Luen2
0,-0.109410912488653,0.355180217920552,-0.240810388588796,0.877409362099995
1,-0.124717156302498,0.371347997076969,-0.109379859729437,1.38717839046291
2,-0.100715802462501,0.289979935590632,0.00980154754642212,0.485435710504361
3,-0.0748402973957374,0.226476282235649,0.0553707053491292,0.257696125275055
4,-0.0729123382565977,0.212823890444879,0.069169488586465,-0.0375647466717748
5,-0.0457459968494522,0.134462764243015,0.0722829663859111,-0.0766976844304033
6,-0.037996244046037,0.111167297777842,0.0703116761106721,-0.140824156738907
7,-0.0298278458990628,0.0870915120941464,0.0596826978995514,-0.123888339412721
8,-0.022840314217814,0.0674054179864063,0.0502136522487833,-0.126141337997527
9,-0.0186809176539189,0.0547502947465999,0.040745313652736,-0.101269836352264
10,-0.0139191042276823,0.0408486671042939,0.0330691626999571,-0.0899203839058997
11,-0.0109963370613748,0.0322521037265369,0.02631598404915,-0.0706383189458246
12,-0.00859414819249182,0.0251905674500456,0.0209754355033358,-0.0592010325275979
13,-0.00666599098795884,0.0195811973996408,0.016536306204854,-0.0461573020929291
14,-0.00525056185669301,0.0154010578980559,0.0130597770097509,-0.0375473138385964
15,-0.00405597222567255,0.0119006690842053,0.0102433282256831,-0.0292006161197497
16,-0.0031710668545859,0.00930372686045866,0.00804661371426096,-0.0233598595917371
17,-0.00247415779650595,0.00725776574102444,0.00629387401240677,-0.0181563120490096
18,-0.00192643153522293,0.00565355637972953,0.00492894792763576,-0.0143827543769525
19,-0.001505266308236,0.00441621391537028,0.00384953152819545,-0.0111813988182996
20,-0.00117142619147381,0.0034370059894116,0.00300929846784626,-0.00880512088583069
21,-0.000913859086734803,0.00268129681380547,0.00234837792586529,-0.00684863945788372
22,-0.000712657027428065,0.00209086765803729,0.00183386999301494,-0.00537350952828847
23,-0.000555460285256881,0.00162981654000627,0.00143048487177566,-0.00418173731147975
24,-0.000433284726085059,0.00127125254459148,0.00111638321231444,-0.00327356563955694
25,-0.000337697613148641,0.000990814768502782,0.000870619948585172,-0.00254872477087758
26,-0.000263328322773759,0.000772615086113815,0.000679199454921786,-0.00199233995500703
27,-0.00020532355257652,0.000602420155312755,0.000529616034991243,-0.00155177924398014
28,-0.00016007507766691,0.000469669848216503,0.000413078916984055,-0.00121191990961678
29,-0.000124820761147948,0.000366226835742833,0.000322085322265409,-0.000944207039795419
30,-9.73136647770545e-05,0.000285521227904706,0.000251179612467567,-0.000736982924006035
31,-7.587593691602e-05,0.000222622516473869,0.000195843826803127,-0.000574308595597373
32,-5.91602151416293e-05,0.000173577563622573,0.000152717156837845,-0.000448097067534348
33,-4.61255931045734e-05,0.000135334187326086,0.000119071509364854,-0.000349243994517912
34,-3.59642980835573e-05,0.000105520293643746,9.28461921467783e-05,-0.000272426886881227
35,-2.80404759838149e-05,8.2271616839602e-05,7.23905857862306e-05,-0.000212351955233725
36,-2.18629026589312e-05,6.4146447058322e-05,5.64449349940155e-05,-0.000165618370661091
37,-1.70462804426896e-05,5.00142934835657e-05,4.40091059769054e-05,-0.000129107012639899
38,-1.32907129595239e-05,3.89953788455522e-05,3.43144598089484e-05,-0.000100683235712107
39,-1.03626487204522e-05,3.04043277323807e-05,2.67543860954511e-05,-7.84915786642415e-05
40,-8.07960226922866e-06,2.370580237121e-05,2.08604878482177e-05,-6.12069810113358e-05
41,-6.29956999942394e-06,1.84831343632563e-05,1.62645767665115e-05,-4.77181909607216e-05
42,-4.91169933208857e-06,1.44110764552785e-05,1.26814527430241e-05,-3.72085295523572e-05
43,-3.82958674455258e-06,1.12361268223005e-05,9.88753002845177e-06,-2.90093076835696e-05
44,-2.98588365765795e-06,8.76067493793542e-06,7.70924808657369e-06,-2.26195068447899e-05
45,-2.32805470279374e-06,6.8305845335459e-06,6.01078603068572e-06,-1.76354338736751e-05
46,-1.81515547015287e-06,5.32572228770234e-06,4.68655996543887e-06,-1.37506578086755e-05
47,-1.41525419317112e-06,4.15239963963421e-06,3.6540440969679e-06,-1.07209208324854e-05
48,-1.10345579518167e-06,3.23757344150577e-06,2.84902242225771e-06,-8.35918275188252e-06
