t,du2_LMI1,du2_LMI2,du2_Luen1,du2_Luen2,du2_UIO1,du2_UIO2,du2_DUIO1,du2_DUIO2
0,-0.0275275974422935,0.0908856353471137,-0.528314601477871,0.968792907591732,0.130293921600234,-0.382286396907577,6.24154355621582,-3.39208797913827
1,-0.0555208068199189,0.157366590235772,-0.40434855323396,1.72208173279859,0.101588541996949,-0.298063925088045,5.72574823815701,-3.23636563044272
2,-0.0438175740069435,0.117827456756241,-0.275632552970265,0.88011043498779,0.0792073163385471,-0.232396716592451,3.99809756774583,-2.99462970629634
3,-0.0289542729173093,0.0883124118558363,-0.202713271902478,0.820213330655372,0.0617569544578407,-0.181196814968304,2.58639726188808,-2.62612716755889
4,-0.0319545650151412,0.0934123014285189,-0.149395952937626,0.442795382206362,0.0481511254283002,-0.141276891670097,1.65485492164127,-2.20979855984855
5,-0.0175544161269643,0.051704032306725,-0.109738271874116,0.3940795404822,0.0375428306083196,-0.110151826474921,1.07962651154484,-1.80849469681817
6,-0.0156610017960092,0.0458002249883425,-0.0780542801335422,0.236510327798652,0.0292716757397194,-0.0858840022045373,0.727939438565982,-1.45371006019431
7,-0.0122439978141431,0.0356569200368653,-0.0601226274716428,0.204784869540094,0.0228227596780716,-0.0669626829685384,0.508605585975211,-1.15524636859159
8,-0.00919318634580657,0.0272321594451057,-0.0449214850535933,0.132591510425313,0.0177946204363746,-0.0522099668768381,0.366806221571516,-0.91147294918537
9,-0.00776875536187344,0.0227343932370629,-0.0348743663482279,0.112996134047459,0.0138742431209888,-0.0407074585488735,0.271243973915525,-0.715906010886345
10,-0.00561580290535924,0.0164869667273968,-0.0264693385761161,0.0774451343022475,0.0108175739342351,-0.0317390965882151,0.204260196567821,-0.560720555157532
11,-0.00449764145434095,0.0131919142203016,-0.0206228216365165,0.0645684733233085,0.00843432717667092,-0.0247465768709048,0.155743837136572,-0.438410616160334
12,-0.00351443525203554,0.0102952053096393,-0.015815304745731,0.046103036999668,0.00657613946952451,-0.0192945966530788,0.119734192938224,-0.342414323972379
13,-0.0027126989312396,0.00797439531413302,-0.0123350092968612,0.0377360868267963,0.00512733374355778,-0.0150437558287499,0.0925433558500888,-0.267256012923568
14,-0.00215205614375291,0.006310334380909,-0.00951574497298155,0.0277318941736772,0.00399771802837717,-0.0117294283730779,0.0717597831258543,-0.208511689498266
15,-0.00165195113370897,0.00484732475314109,-0.00742567468327993,0.0223795875008375,0.00311697077487016,-0.00914528868424991,0.0557628365825149,-0.162639078115603
16,-0.00129506333497886,0.00379974805153688,-0.00575092616692885,0.0167735574751341,0.0024302631500519,-0.0071304672698318,0.043389629310266,-0.126839723310638
