t,u,u_Luen,u_LR,u_GR
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,30,2.9081744105188,4.20180274093965,0.952668910309569
34,33,11.2655807519983,11.3700449235433,25.6040257559592
35,33,15.8453501170287,23.6586936517771,16.7099263465841
36,33,20.2732926244324,23.3918457151066,22.8208971878973
37,33,20.8460991327552,27.3240148324403,30.3599394819595
38,33,23.6920778655035,22.9149673590897,26.3354446769359
39,34,22.9667098574713,25.3765539468477,28.876981746954
40,34,21.1422648168648,20.2647780462182,24.5243076113893
41,34,20.0286262439317,19.7743903834282,23.7820398779895
42,28,27.760151356221,20.1924088405718,23.862513807128
43,29,30.5261207221643,21.4563708858422,24.8523269428561
44,30,32.5592750730306,21.0483512818252,24.8407918620409
45,30,26.12029801203,21.8897873109484,28.7540781096221
46,29,26.8395532463953,18.8333483657311,29.0319731543202
47,29,25.7843634747539,15.4400960537513,24.995879834795
48,17,25.740939560808,15.224824924926,22.2970299315792
49,9,21.545159478553,15.3488406812513,23.159156309744
50,2,20.9584745746772,13.3794454893374,16.6986458149767
51,1,18.2295194571646,10.7124207524633,15.0091453138017
52,0,17.4381026858733,10.5692539926369,22.8245550492009
53,7,16.0224812230578,7.00374792519319,10.0332608452717
54,13,19.9202078958091,11.8285782983974,7.79625683533313
55,15,21.3945702370062,16.6450705219899,20.5127150601132
56,15,21.0647610126695,16.5595793745242,19.4469440841214
57,15,22.0444354724692,16.1217585549212,20.5318882749331
58,16,23.8475638981727,21.3964656096434,28.5905464469233
